#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 01 02 15 15 00 1 2747.360
2022 01 02 15 30 00 1 2747.497
2022 01 02 15 45 00 1 2747.624
2022 01 02 16 00 00 1 2747.741
2022 01 02 16 15 00 1 2747.848
2022 01 02 16 30 00 1 2747.942
2022 01 02 16 45 00 1 2748.021
2022 01 02 17 00 00 1 2748.087
2022 01 02 17 15 00 1 2748.138
2022 01 02 17 30 00 1 2748.174
2022 01 02 17 45 00 1 2748.195
2022 01 02 18 00 00 1 2748.203
2022 01 02 18 15 00 1 2748.198
2022 01 02 18 30 00 1 2748.181
2022 01 02 18 45 00 1 2748.151
2022 01 02 19 00 00 1 2748.109
2022 01 02 19 15 00 1 2748.057
2022 01 02 19 30 00 1 2747.997
2022 01 02 19 45 00 1 2747.927
2022 01 02 20 00 00 1 2747.854
2022 01 02 20 15 00 1 2747.775
2022 01 02 20 30 00 1 2747.694
2022 01 02 20 45 00 1 2747.608
2022 01 02 21 00 00 1 2747.524
2022 01 02 21 15 00 1 2747.444
2022 01 02 21 30 00 1 2747.369
2022 01 02 21 45 00 1 2747.296
2022 01 02 22 00 00 1 2747.229
2022 01 02 22 15 00 1 2747.169
2022 01 02 22 30 00 1 2747.119
2022 01 02 22 45 00 1 2747.074
2022 01 02 23 00 00 1 2747.041
2022 01 02 23 15 00 1 2747.018
2022 01 02 23 30 00 1 2747.003
2022 01 02 23 45 00 1 2746.998
2022 01 03 00 00 00 1 2747.005
2022 01 03 00 15 00 1 2747.022
2022 01 03 00 30 00 1 2747.046
2022 01 03 00 45 00 1 2747.081
2022 01 03 01 00 00 1 2747.126
2022 01 03 01 15 00 1 2747.180
2022 01 03 01 30 00 1 2747.241
2022 01 03 01 45 00 1 2747.305
2022 01 03 02 00 00 1 2747.373
2022 01 03 02 15 00 1 2747.443
2022 01 03 02 30 00 1 2747.515
2022 01 03 02 45 00 1 2747.586
2022 01 03 03 00 00 1 2747.653
2022 01 03 03 15 00 1 2747.717
2022 01 03 03 30 00 1 2747.774
2022 01 03 03 45 00 1 2747.821
2022 01 03 04 00 00 1 2747.859
2022 01 03 04 15 00 1 2747.889
2022 01 03 04 30 00 1 2747.907
2022 01 03 04 45 00 1 2747.913
2022 01 03 05 00 00 1 2747.904
2022 01 03 05 15 00 1 2747.881
