#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2019 01 02 15 15 00 1 9999.000
2019 01 02 15 30 00 1 9999.000
2019 01 02 15 45 00 1 9999.000
2019 01 02 16 00 00 1 9999.000
2019 01 02 16 15 00 1 9999.000
2019 01 02 16 30 00 1 9999.000
2019 01 02 16 45 00 1 9999.000
2019 01 02 17 00 00 1 9999.000
2019 01 02 17 15 00 1 9999.000
2019 01 02 17 30 00 1 9999.000
2019 01 02 17 45 00 1 9999.000
2019 01 02 18 00 00 1 9999.000
2019 01 02 18 15 00 1 5727.176
2019 01 02 18 30 00 1 5727.171
2019 01 02 18 45 00 1 5727.169
2019 01 02 19 00 00 1 5727.164
2019 01 02 19 15 00 1 5727.157
2019 01 02 19 30 00 1 5727.150
2019 01 02 19 45 00 1 5727.142
2019 01 02 20 00 00 1 5727.133
2019 01 02 20 15 00 1 5727.125
2019 01 02 20 30 00 1 5727.121
2019 01 02 20 45 00 1 5727.119
2019 01 02 21 00 00 1 5727.114
2019 01 02 21 15 00 1 5727.113
2019 01 02 21 30 00 1 5727.113
2019 01 02 21 45 00 1 5727.115
2019 01 02 22 00 00 1 5727.121
2019 01 02 22 15 00 1 5727.128
2019 01 02 22 30 00 1 5727.139
2019 01 02 22 45 00 1 5727.151
2019 01 02 23 00 00 1 5727.164
2019 01 02 23 15 00 1 5727.176
2019 01 02 23 30 00 1 5727.193
2019 01 02 23 45 00 1 5727.210
2019 01 03 00 00 00 1 5727.222
2019 01 03 00 15 00 1 5727.240
2019 01 03 00 30 00 1 5727.258
2019 01 03 00 45 00 1 5727.272
2019 01 03 01 00 00 1 5727.283
2019 01 03 01 15 00 1 5727.291
2019 01 03 01 30 00 1 5727.305
2019 01 03 01 45 00 1 5727.316
2019 01 03 02 00 00 1 5727.327
2019 01 03 02 15 00 1 5727.332
2019 01 03 02 30 00 1 5727.337
2019 01 03 02 45 00 1 5727.343
2019 01 03 03 00 00 1 5727.344
2019 01 03 03 15 00 1 5727.342
2019 01 03 03 30 00 1 5727.341
2019 01 03 03 45 00 1 5727.337
2019 01 03 04 00 00 1 5727.328
2019 01 03 04 15 00 1 5727.317
2019 01 03 04 30 00 1 5727.304
2019 01 03 04 45 00 1 5727.289
2019 01 03 05 00 00 1 5727.272
2019 01 03 05 15 00 1 5727.249
2019 01 03 05 30 00 1 5727.219
2019 01 03 05 45 00 1 5727.187
2019 01 03 06 00 00 1 5727.152
2019 01 03 06 15 00 1 5727.115
2019 01 03 06 30 00 1 5727.075
2019 01 03 06 45 00 1 5727.035
2019 01 03 07 00 00 1 5726.994
2019 01 03 07 15 00 1 5726.951
2019 01 03 07 30 00 1 5726.904
2019 01 03 07 45 00 1 5726.860
2019 01 03 08 00 00 1 5726.812
2019 01 03 08 15 00 1 5726.773
2019 01 03 08 30 00 1 5726.733
2019 01 03 08 45 00 1 5726.693
2019 01 03 09 00 00 1 5726.655
2019 01 03 09 15 00 1 5726.623
2019 01 03 09 30 00 1 5726.595
2019 01 03 09 45 00 1 5726.567
2019 01 03 10 00 00 1 5726.546
2019 01 03 10 15 00 1 5726.527
2019 01 03 10 30 00 1 5726.510
2019 01 03 10 45 00 1 5726.500
2019 01 03 11 00 00 1 5726.494
2019 01 03 11 15 00 1 5726.497
2019 01 03 11 30 00 1 5726.500
2019 01 03 11 45 00 1 5726.507
2019 01 03 12 00 00 1 5726.520
2019 01 03 12 15 00 1 5726.536
2019 01 03 12 30 00 1 5726.560
2019 01 03 12 45 00 1 5726.586
2019 01 03 13 00 00 1 5726.612
2019 01 03 13 15 00 1 5726.643
2019 01 03 13 30 00 1 5726.679
