#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2021 03 24 09 30 00 1 2746.344
2021 03 24 09 45 00 1 2746.391
2021 03 24 10 00 00 1 2746.445
2021 03 24 10 15 00 1 2746.503
2021 03 24 10 30 00 1 2746.566
2021 03 24 10 45 00 1 2746.635
2021 03 24 11 00 00 1 2746.706
2021 03 24 11 15 00 1 2746.783
2021 03 24 11 30 00 1 2746.858
2021 03 24 11 45 00 1 2746.932
2021 03 24 12 00 00 1 2747.009
2021 03 24 12 15 00 1 2747.084
2021 03 24 12 30 00 1 2747.156
2021 03 24 12 45 00 1 2747.226
2021 03 24 13 00 00 1 2747.293
2021 03 24 13 15 00 1 2747.356
2021 03 24 13 30 00 1 2747.413
2021 03 24 13 45 00 1 2747.461
2021 03 24 14 00 00 1 2747.506
2021 03 24 14 15 00 1 2747.545
2021 03 24 14 30 00 1 2747.576
2021 03 24 14 45 00 1 2747.597
2021 03 24 15 00 00 1 2747.612
2021 03 24 15 15 00 1 2747.620
2021 03 24 15 30 00 1 2747.618
2021 03 24 15 45 00 1 2747.611
2021 03 24 16 00 00 1 2747.600
2021 03 24 16 15 00 1 2747.581
2021 03 24 16 30 00 1 2747.556
2021 03 24 16 45 00 1 2747.524
2021 03 24 17 00 00 1 2747.489
2021 03 24 17 15 00 1 2747.449
2021 03 24 17 30 00 1 2747.407
2021 03 24 17 45 00 1 2747.363
2021 03 24 18 00 00 1 2747.314
2021 03 24 18 15 00 1 2747.264
2021 03 24 18 30 00 1 2747.216
2021 03 24 18 45 00 1 2747.168
2021 03 24 19 00 00 1 2747.123
2021 03 24 19 15 00 1 2747.081
2021 03 24 19 30 00 1 2747.042
2021 03 24 19 45 00 1 2747.006
2021 03 24 20 00 00 1 2746.974
2021 03 24 20 15 00 1 2746.948
2021 03 24 20 30 00 1 2746.929
2021 03 24 20 45 00 1 2746.914
2021 03 24 21 00 00 1 2746.900
2021 03 24 21 15 00 1 2746.895
2021 03 24 21 30 00 1 2746.897
2021 03 24 21 45 00 1 2746.905
2021 03 24 22 00 00 1 2746.919
2021 03 24 22 15 00 1 2746.937
2021 03 24 22 30 00 1 2746.958
2021 03 24 22 45 00 1 2746.982
2021 03 24 23 00 00 1 2747.011
2021 03 24 23 15 00 1 2747.042
2021 03 24 23 30 00 1 2747.075
2021 03 24 23 45 00 1 2747.109
2021 03 25 00 00 00 1 2747.143
2021 03 25 00 15 00 1 2747.179
2021 03 25 00 30 00 1 2747.210
2021 03 25 00 45 00 1 2747.241
2021 03 25 01 00 00 1 2747.266
2021 03 25 01 15 00 1 2747.287
2021 03 25 01 30 00 1 2747.304
2021 03 25 01 45 00 1 2747.317
2021 03 25 02 00 00 1 2747.325
2021 03 25 02 15 00 1 2747.324
2021 03 25 02 30 00 1 2747.321
2021 03 25 02 45 00 1 2747.307
2021 03 25 03 00 00 1 2747.287
2021 03 25 03 15 00 1 2747.263
2021 03 25 03 30 00 1 2747.232
2021 03 25 03 45 00 1 2747.192
2021 03 25 04 00 00 1 2747.143
2021 03 25 04 15 00 1 2747.091
2021 03 25 04 30 00 1 2747.034
2021 03 25 04 45 00 1 2746.974
2021 03 25 05 00 00 1 2746.908
2021 03 25 05 15 00 1 2746.841
2021 03 25 05 30 00 1 2746.771
2021 03 25 05 45 00 1 2746.699
2021 03 25 06 00 00 1 2746.626
2021 03 25 06 15 00 1 2746.556
2021 03 25 06 30 00 1 2746.485
2021 03 25 06 45 00 1 2746.419
2021 03 25 07 00 00 1 2746.358
2021 03 25 07 15 00 1 2746.299
2021 03 25 07 30 00 1 2746.247
2021 03 25 07 45 00 1 2746.202
2021 03 25 08 00 00 1 2746.165
2021 03 25 08 15 00 1 2746.134
2021 03 25 08 30 00 1 2746.113
2021 03 25 08 45 00 1 2746.103
2021 03 25 09 00 00 1 2746.100
2021 03 25 09 15 00 1 2746.105
2021 03 25 09 30 00 1 2746.121
2021 03 25 09 45 00 1 2746.147
2021 03 25 10 00 00 1 2746.182
2021 03 25 10 15 00 1 2746.229
2021 03 25 10 30 00 1 2746.284
2021 03 25 10 45 00 1 2746.345
2021 03 25 11 00 00 1 2746.414
2021 03 25 11 15 00 1 2746.488
2021 03 25 11 30 00 1 2746.571
2021 03 25 11 45 00 1 2746.655
2021 03 25 12 00 00 1 2746.744
2021 03 25 12 15 00 1 2746.835
2021 03 25 12 30 00 1 2746.928
2021 03 25 12 45 00 1 2747.020
2021 03 25 13 00 00 1 2747.111
2021 03 25 13 15 00 1 2747.201
2021 03 25 13 30 00 1 2747.286
2021 03 25 13 45 00 1 2747.368
2021 03 25 14 00 00 1 2747.444
2021 03 25 14 15 00 1 2747.512
2021 03 25 14 30 00 1 2747.571
2021 03 25 14 45 00 1 2747.625
2021 03 25 15 00 00 1 2747.668
2021 03 25 15 15 00 1 2747.702
2021 03 25 15 30 00 1 2747.726
2021 03 25 15 45 00 1 2747.742
2021 03 25 16 00 00 1 2747.745
2021 03 25 16 15 00 1 2747.739
2021 03 25 16 30 00 1 2747.728
2021 03 25 16 45 00 1 2747.705
2021 03 25 17 00 00 1 2747.673
2021 03 25 17 15 00 1 2747.632
2021 03 25 17 30 00 1 2747.583
2021 03 25 17 45 00 1 2747.528
2021 03 25 18 00 00 1 2747.469
2021 03 25 18 15 00 1 2747.407
2021 03 25 18 30 00 1 2747.342
