#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2021 01 01 00 00 00 1 5632.143
2021 01 01 00 15 00 1 5632.226
2021 01 01 00 30 00 1 5632.306
2021 01 01 00 45 00 1 5632.387
2021 01 01 01 00 00 1 5632.467
2021 01 01 01 15 00 1 5632.540
2021 01 01 01 30 00 1 5632.607
2021 01 01 01 45 00 1 5632.670
2021 01 01 02 00 00 1 5632.724
2021 01 01 02 15 00 1 5632.769
2021 01 01 02 30 00 1 5632.806
2021 01 01 02 45 00 1 5632.834
2021 01 01 03 00 00 1 5632.856
2021 01 01 03 15 00 1 5632.866
2021 01 01 03 30 00 1 5632.868
2021 01 01 03 45 00 1 5632.862
2021 01 01 04 00 00 1 5632.847
2021 01 01 04 15 00 1 5632.823
2021 01 01 04 30 00 1 5632.791
2021 01 01 04 45 00 1 5632.751
2021 01 01 05 00 00 1 5632.709
2021 01 01 05 15 00 1 5632.659
2021 01 01 05 30 00 1 5632.606
2021 01 01 05 45 00 1 5632.550
2021 01 01 06 00 00 1 5632.492
2021 01 01 06 15 00 1 5632.437
2021 01 01 06 30 00 1 5632.379
2021 01 01 06 45 00 1 5632.326
2021 01 01 07 00 00 1 5632.277
2021 01 01 07 15 00 1 5632.233
2021 01 01 07 30 00 1 5632.192
2021 01 01 07 45 00 1 5632.158
2021 01 01 08 00 00 1 5632.133
2021 01 01 08 15 00 1 5632.116
2021 01 01 08 30 00 1 5632.107
2021 01 01 08 45 00 1 5632.109
2021 01 01 09 00 00 1 5632.119
2021 01 01 09 15 00 1 5632.133
2021 01 01 09 30 00 1 5632.158
2021 01 01 09 45 00 1 5632.194
2021 01 01 10 00 00 1 5632.237
2021 01 01 10 15 00 1 5632.289
2021 01 01 10 30 00 1 5632.349
2021 01 01 10 45 00 1 5632.415
2021 01 01 11 00 00 1 5632.489
2021 01 01 11 15 00 1 5632.564
2021 01 01 11 30 00 1 5632.642
2021 01 01 11 45 00 1 5632.723
2021 01 01 12 00 00 1 5632.804
2021 01 01 12 15 00 1 5632.885
2021 01 01 12 30 00 1 5632.962
2021 01 01 12 45 00 1 5633.035
2021 01 01 13 00 00 1 5633.104
2021 01 01 13 15 00 1 5633.165
2021 01 01 13 30 00 1 5633.209
2021 01 01 13 45 00 1 5633.252
2021 01 01 14 00 00 1 5633.290
2021 01 01 14 15 00 1 5633.316
2021 01 01 14 30 00 1 5633.334
2021 01 01 14 45 00 1 5633.341
2021 01 01 15 00 00 1 5633.342
2021 01 01 15 15 00 1 5633.334
2021 01 01 15 30 00 1 5633.314
2021 01 01 15 45 00 1 5633.282
2021 01 01 16 00 00 1 5633.240
2021 01 01 16 15 00 1 5633.185
2021 01 01 16 30 00 1 5633.121
