#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 08 20 999  6.0 99.0 99.00 99.00 99.00 999 1014.4  22.7 999.0  21.1 99.0 99.00 
2023 01 01 08 30 999  5.9 99.0 99.00 99.00 99.00 999 1014.3  22.7 999.0  21.2 99.0 99.00 
2023 01 01 08 40 999  6.0 99.0  0.98  7.69  4.53 116 1014.3  22.7 999.0  21.2 99.0 99.00 
2023 01 01 08 50 999  6.5 99.0 99.00 99.00 99.00 999 1014.4 999.0 999.0 999.0 99.0 99.00 
2023 01 01 09 00 999  6.5 99.0 99.00 99.00 99.00 999 1014.4  22.8 999.0  21.3 99.0 99.00 
2023 01 01 09 10 999  6.4 99.0  0.98  7.69  4.35  92 1014.4 999.0 999.0 999.0 99.0 99.00 
2023 01 01 09 20 999  6.1 99.0 99.00 99.00 99.00 999 1014.5  22.8 999.0  21.4 99.0 99.00 
2023 01 01 09 30 999  5.9 99.0 99.00 99.00 99.00 999 1014.6  22.8 999.0  21.4 99.0 99.00 
2023 01 01 09 40 999  5.8 99.0  1.02  7.69  4.13  93 1014.7 999.0 999.0 999.0 99.0 99.00 
2023 01 01 09 50 999  4.7 99.0 99.00 99.00 99.00 999 1014.9  22.8 999.0  21.4 99.0 99.00 
2023 01 01 10 00 999  4.3 99.0 99.00 99.00 99.00 999 1014.8  22.8 999.0  21.4 99.0 99.00 
2023 01 01 10 10 999  4.9 99.0  0.97  7.69  4.32  95 1014.8 999.0 999.0 999.0 99.0 99.00 
2023 01 01 10 20 999  4.0 99.0 99.00 99.00 99.00 999 1014.7  22.8 999.0  21.3 99.0 99.00 
2023 01 01 10 30 999  3.5 99.0 99.00 99.00 99.00 999 1014.8 999.0 999.0 999.0 99.0 99.00 
2023 01 01 10 40 999  3.6 99.0  0.97  4.35  4.36 164 1014.7  22.8 999.0  21.4 99.0 99.00 
2023 01 01 10 50 999  4.0 99.0 99.00 99.00 99.00 999 1014.7 999.0 999.0 999.0 99.0 99.00 
2023 01 01 11 00 999  4.2 99.0 99.00 99.00 99.00 999 1014.7 999.0 999.0 999.0 99.0 99.00 
2023 01 01 11 10 999  5.1 99.0  0.96  7.14  4.31 105 1014.7 999.0 999.0 999.0 99.0 99.00 
2023 01 01 11 20 999  5.5 99.0 99.00 99.00 99.00 999 1014.7 999.0 999.0 999.0 99.0 99.00 
