#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2020 01 02 15 15 00 1 3472.806
2020 01 02 15 30 00 1 3472.825
2020 01 02 15 45 00 1 3472.846
2020 01 02 16 00 00 1 3472.865
2020 01 02 16 15 00 1 3472.885
2020 01 02 16 30 00 1 3472.904
2020 01 02 16 45 00 1 3472.923
2020 01 02 17 00 00 1 3472.940
2020 01 02 17 15 00 1 3472.956
2020 01 02 17 30 00 1 3472.969
2020 01 02 17 45 00 1 3472.979
2020 01 02 18 00 00 1 3472.987
2020 01 02 18 15 00 1 3472.995
2020 01 02 18 30 00 1 3473.000
2020 01 02 18 45 00 1 3473.002
2020 01 02 19 00 00 1 3472.999
2020 01 02 19 15 00 1 3472.995
2020 01 02 19 30 00 1 3472.988
2020 01 02 19 45 00 1 3472.981
2020 01 02 20 00 00 1 3472.971
2020 01 02 20 15 00 1 3472.958
2020 01 02 20 30 00 1 3472.941
2020 01 02 20 45 00 1 3472.921
2020 01 02 21 00 00 1 3472.902
2020 01 02 21 15 00 1 3472.882
2020 01 02 21 30 00 1 3472.859
2020 01 02 21 45 00 1 3472.837
2020 01 02 22 00 00 1 3472.813
2020 01 02 22 15 00 1 3472.789
2020 01 02 22 30 00 1 3472.766
2020 01 02 22 45 00 1 3472.742
2020 01 02 23 00 00 1 3472.723
2020 01 02 23 15 00 1 3472.703
2020 01 02 23 30 00 1 3472.684
2020 01 02 23 45 00 1 3472.665
2020 01 03 00 00 00 1 3472.647
2020 01 03 00 15 00 1 3472.633
2020 01 03 00 30 00 1 3472.620
2020 01 03 00 45 00 1 3472.609
2020 01 03 01 00 00 1 3472.603
2020 01 03 01 15 00 1 3472.598
2020 01 03 01 30 00 1 3472.596
2020 01 03 01 45 00 1 3472.598
2020 01 03 02 00 00 1 3472.602
2020 01 03 02 15 00 1 3472.606
2020 01 03 02 30 00 1 3472.613
2020 01 03 02 45 00 1 3472.621
2020 01 03 03 00 00 1 3472.633
2020 01 03 03 15 00 1 3472.646
2020 01 03 03 30 00 1 3472.659
2020 01 03 03 45 00 1 3472.675
2020 01 03 04 00 00 1 3472.692
2020 01 03 04 15 00 1 3472.710
2020 01 03 04 30 00 1 3472.733
2020 01 03 04 45 00 1 3472.753
2020 01 03 05 00 00 1 3472.772
2020 01 03 05 15 00 1 3472.793
2020 01 03 05 30 00 1 3472.810
2020 01 03 05 45 00 1 3472.827
2020 01 03 06 00 00 1 3472.845
2020 01 03 06 15 00 1 3472.857
2020 01 03 06 30 00 1 3472.868
2020 01 03 06 45 00 1 3472.879
2020 01 03 07 00 00 1 3472.886
2020 01 03 07 15 00 1 3472.892
2020 01 03 07 30 00 1 3472.899
2020 01 03 07 45 00 1 3472.904
2020 01 03 08 00 00 1 3472.907
2020 01 03 08 15 00 1 3472.910
2020 01 03 08 30 00 1 3472.912
2020 01 03 08 45 00 1 3472.911
2020 01 03 09 00 00 1 3472.908
2020 01 03 09 15 00 1 3472.902
2020 01 03 09 30 00 1 3472.892
2020 01 03 09 45 00 1 3472.883
2020 01 03 10 00 00 1 3472.874
2020 01 03 10 15 00 1 3472.863
2020 01 03 10 30 00 1 3472.853
2020 01 03 10 45 00 1 3472.844
2020 01 03 11 00 00 1 3472.832
2020 01 03 11 15 00 1 3472.824
2020 01 03 11 30 00 1 3472.812
2020 01 03 11 45 00 1 3472.800
2020 01 03 12 00 00 1 3472.790
2020 01 03 12 15 00 1 3472.782
2020 01 03 12 30 00 1 3472.772
2020 01 03 12 45 00 1 3472.763
2020 01 03 13 00 00 1 3472.755
2020 01 03 13 15 00 1 3472.748
2020 01 03 13 30 00 1 3472.743
2020 01 03 13 45 00 1 3472.739
2020 01 03 14 00 00 1 3472.739
2020 01 03 14 15 00 1 3472.743
2020 01 03 14 30 00 1 3472.747
2020 01 03 14 45 00 1 3472.754
2020 01 03 15 00 00 1 3472.763
2020 01 03 15 15 00 1 3472.774
2020 01 03 15 30 00 1 3472.783
2020 01 03 15 45 00 1 3472.793
2020 01 03 16 00 00 1 3472.808
