#YY,MM,DD,ATMP,WTMP,WVHT
2020.0,1.0,1.0,26.772222222222222,28.212500000000006,1.2458333333333333
2020.0,1.0,2.0,27.189928057553956,28.05416666666667,1.1083333333333334
2020.0,1.0,3.0,26.28472222222222,27.933333333333334,1.2125000000000001
2020.0,1.0,4.0,26.873611111111114,27.754166666666674,1.2916666666666667
2020.0,1.0,5.0,25.072222222222223,27.808333333333334,1.2333333333333334
2020.0,1.0,6.0,24.960416666666667,27.729166666666668,1.0
2020.0,1.0,7.0,26.429861111111112,27.8125,1.3541666666666667
2020.0,1.0,8.0,26.45138888888889,27.916666666666668,1.5916666666666668
2020.0,1.0,9.0,27.11875,27.899999999999995,1.4875
2020.0,1.0,10.0,27.020833333333332,27.683333333333334,2.0875
2020.0,1.0,11.0,27.092361111111114,27.48333333333333,2.558333333333333
2020.0,1.0,12.0,26.585416666666667,27.179166666666664,3.016666666666667
2020.0,1.0,13.0,26.490972222222222,27.28333333333333,3.15
2020.0,1.0,14.0,26.256944444444443,27.42083333333333,2.5458333333333334
2020.0,1.0,15.0,25.515972222222224,27.366666666666664,2.0500000000000003
2020.0,1.0,16.0,26.144444444444446,27.320833333333336,1.6083333333333334
2020.0,1.0,17.0,25.544444444444444,27.325,1.1208333333333333
2020.0,1.0,18.0,26.110416666666666,27.275000000000002,1.3166666666666667
2020.0,1.0,19.0,25.236805555555556,27.1875,3.379166666666667
2020.0,1.0,20.0,25.016666666666666,27.1375,3.1625
2020.0,1.0,21.0,26.206249999999997,27.191666666666663,1.9833333333333332
2020.0,1.0,22.0,25.8125,27.145833333333332,1.0999999999999999
2020.0,1.0,23.0,25.655555555555555,27.100000000000005,0.8541666666666666
2020.0,1.0,24.0,24.834027777777777,27.13333333333333,1.7416666666666665
2020.0,1.0,25.0,24.444444444444443,27.2625,2.0208333333333335
2020.0,1.0,26.0,24.904861111111114,27.195833333333336,1.6708333333333334
2020.0,1.0,27.0,24.71597222222222,27.145833333333332,1.1875
2020.0,1.0,28.0,25.37152777777778,27.237499999999997,1.1666666666666667
2020.0,1.0,29.0,25.991666666666667,27.462499999999995,0.9708333333333334
2020.0,1.0,30.0,26.185416666666665,27.4375,0.7875
2020.0,1.0,31.0,26.065217391304348,27.278260869565216,0.908695652173913
2020.0,2.0,1.0,26.59027777777778,27.3875,0.8833333333333333
2020.0,2.0,2.0,26.095138888888886,27.262500000000003,1.0
2020.0,2.0,3.0,26.200694444444444,27.583333333333332,0.9208333333333333
2020.0,2.0,4.0,26.782638888888886,27.458333333333332,1.2333333333333332
2020.0,2.0,5.0,26.303472222222222,27.204166666666666,1.5
2020.0,2.0,6.0,26.54236111111111,27.137500000000003,1.4166666666666667
2020.0,2.0,7.0,26.387500000000003,27.116666666666664,1.325
2020.0,2.0,8.0,26.50486111111111,27.087500000000002,1.5625
2020.0,2.0,9.0,26.455555555555556,26.879166666666663,1.4124999999999996
2020.0,2.0,10.0,26.304861111111112,26.962499999999995,1.5291666666666668
2020.0,2.0,11.0,26.57361111111111,26.991666666666664,1.5833333333333333
2020.0,2.0,12.0,26.289208633093523,27.004166666666666,1.7583333333333335
2020.0,2.0,13.0,26.44375,26.96666666666667,1.8499999999999999
2020.0,2.0,14.0,26.02777777777778,26.929166666666664,1.6500000000000001
2020.0,2.0,15.0,25.297916666666666,26.879166666666663,1.375
2020.0,2.0,16.0,25.74375,26.8875,1.3916666666666666
2020.0,2.0,17.0,26.047222222222224,26.879166666666666,1.4208333333333334
2020.0,2.0,18.0,25.99513888888889,26.84583333333333,1.6458333333333333
2020.0,2.0,19.0,25.89513888888889,26.8,1.7583333333333335
2020.0,2.0,20.0,25.975694444444443,26.77916666666667,1.4916666666666665
2020.0,2.0,21.0,25.59652777777778,26.754166666666666,1.2
2020.0,2.0,22.0,25.705555555555556,26.974999999999998,0.7416666666666667
2020.0,2.0,23.0,25.615277777777777,27.045833333333334,1.0374999999999999
2020.0,2.0,24.0,24.33263888888889,26.925,2.245833333333333
2020.0,2.0,25.0,24.81736111111111,26.72083333333333,2.2708333333333335
2020.0,2.0,26.0,25.685416666666665,26.604166666666668,1.7458333333333336
2020.0,2.0,27.0,25.427083333333332,26.666666666666668,1.4458333333333335
2020.0,2.0,28.0,25.709027777777777,26.770833333333332,1.2583333333333333
2020.0,2.0,29.0,25.595138888888886,26.825,1.0541666666666665
2020.0,3.0,1.0,25.490277777777777,26.995833333333337,0.9499999999999998
2020.0,3.0,2.0,25.135416666666668,26.979166666666668,1.5833333333333333
2020.0,3.0,3.0,25.477777777777778,26.804166666666664,1.8833333333333337
2020.0,3.0,4.0,26.175694444444446,26.799999999999997,1.6833333333333333
2020.0,3.0,5.0,26.057446808510637,26.766666666666666,1.3708333333333333
2020.0,3.0,6.0,25.674305555555556,26.791666666666668,1.125
2020.0,3.0,7.0,25.66736111111111,26.691666666666663,0.9499999999999998
2020.0,3.0,8.0,25.132638888888888,26.84583333333333,0.8916666666666667
2020.0,3.0,9.0,24.610416666666666,26.866666666666664,3.0750000000000006
2020.0,3.0,10.0,24.80625,26.708333333333332,3.391666666666667
2020.0,3.0,11.0,25.264583333333334,26.625,2.7375000000000003
2020.0,3.0,12.0,26.231944444444444,26.579166666666666,2.066666666666667
2020.0,3.0,13.0,25.820833333333333,26.754166666666666,1.6083333333333334
2020.0,3.0,14.0,25.29861111111111,27.150000000000002,1.3291666666666666
2020.0,3.0,15.0,25.549999999999997,27.10833333333333,1.7541666666666667
2020.0,3.0,16.0,25.280555555555555,26.899999999999995,1.8833333333333337
