station_id,ds_m_d,yhat,yhat_lower,yhat_upper,WTMP_pred,WTMP_pred_lower,WTMP_pred_upper
WestTampa_42098,01-01,1.0418996189636356,0.5622635737303973,1.5085616410913183,19.50653216644085,17.944682834308374,21.134477002194455
WestTampa_42098,01-02,0.983905290281582,0.47862188570561576,1.473086057080429,19.502684495580112,17.91088375507304,21.055339066312587
WestTampa_42098,01-03,0.9482343135123993,0.46614548024494123,1.4292938359816332,19.484285515433196,17.8329702756766,21.123722505247137
WestTampa_42098,01-04,0.9748469555183369,0.4774390196644755,1.487527520120254,19.447999007878966,17.77933404373665,21.094486223459114
WestTampa_42098,01-05,0.9641347780831475,0.47117190159280764,1.4666119206983645,19.447886642578755,17.699277726593184,20.872733714225376
WestTampa_42098,01-06,0.9784374374868137,0.4563293403316137,1.4659558145973743,19.397841791549574,17.804555111994272,21.025949480927437
WestTampa_42098,01-07,1.0044565935268226,0.517828166821036,1.5342536339640132,19.387651533606622,17.731194931927448,20.908970375377688
WestTampa_42098,01-08,1.0261849887709928,0.573474510916177,1.565009213541383,19.377953680568552,17.77051982489911,21.081952894851554
WestTampa_42098,01-09,0.9868624989428328,0.48897194108762837,1.4913212325155722,19.38244781432183,17.745004847343427,20.95327275956228
WestTampa_42098,01-10,0.9752609725842663,0.45226307372199176,1.5098488534933892,19.356944742085563,17.6987742813881,20.960012155044723
WestTampa_42098,01-11,1.012173448340018,0.5302556412147558,1.4797531641805877,19.305919587875916,17.59211805211691,20.89572234381157
WestTampa_42098,01-12,1.0129815390088486,0.5185614084393441,1.5329631067052765,19.28366343616637,17.598226774789214,20.803522588817703
WestTampa_42098,01-13,1.024291110039167,0.5734542888798285,1.5493369171995386,19.204520330511563,17.597188901018406,20.868432648352776
WestTampa_42098,01-14,1.0546631844075003,0.5506192499043546,1.5401800201648024,19.15894192434641,17.49548632027963,20.873722843788318
WestTampa_42098,01-15,1.0894913807131306,0.5927923610299428,1.6061820179312722,19.108431335410394,17.506628631881114,20.81767319564899
WestTampa_42098,01-16,1.0717506684563949,0.5907970445407806,1.5520446021522316,19.067735484572534,17.21328384996655,20.791397656688588
WestTampa_42098,01-17,1.0524281219513436,0.5420021679046497,1.5403529889365142,19.001675349295667,17.294722041344883,20.72530256865858
WestTampa_42098,01-18,1.0863089893323468,0.6068947845542131,1.551874400533264,18.908257011379362,17.310560741402835,20.671465459167386
WestTampa_42098,01-19,1.081841712159012,0.5546196308691189,1.5128044543272472,18.843204945105335,17.118708355440763,20.417547686318816
WestTampa_42098,01-20,1.0941293739911364,0.6111520035802277,1.5773946833039496,18.72235932180215,17.082775903426207,20.355659419870943
WestTampa_42098,01-21,1.1215079488428823,0.5987975564175151,1.6103288100377326,18.637693430981116,16.926141996881324,20.302711004755764
WestTampa_42098,01-22,1.1374996139568618,0.6639770585028678,1.6116056846253473,18.55221913461601,16.971006114221257,20.258411065272846
WestTampa_42098,01-23,1.105712466430451,0.6343504083100697,1.6066394676432547,18.482140619386897,16.86325284734486,20.116170646800903
WestTampa_42098,01-24,1.0807446317631257,0.6328510086726973,1.6121979191931257,18.39364687127755,16.785957713642695,19.986739899546208
WestTampa_42098,01-25,1.100549446627142,0.6214978091854353,1.5794947248702937,18.28598673035941,16.568755912007486,19.895881603676767
WestTampa_42098,01-26,1.0892315613503052,0.574532080157864,1.5711566781230788,18.21596890845542,16.644352846126825,19.79198764149695
WestTampa_42098,01-27,1.0953849152644346,0.6047097770571318,1.5444507830959693,18.10032961600984,16.549348009651688,19.85925883584119
WestTampa_42098,01-28,1.122815714450759,0.5947420665921465,1.572036254210303,18.03172467947176,16.41480207321625,19.692632775975564
WestTampa_42098,01-29,1.138578941561917,0.6387077129041124,1.6569920197206978,17.97361473719039,16.287626407302405,19.60957134497821
WestTampa_42098,01-30,1.0622532463473333,0.5438481365209773,1.5280585899962016,17.942404322637262,16.370538551927613,19.661111263405306
WestTampa_42098,01-31,1.0085722179443504,0.5394774720037243,1.5113730257125728,17.904225661541947,16.26193954919925,19.522908411997225
WestTampa_42098,02-01,0.9885204467212895,0.5147410317518749,1.4611565886905784,17.85801129055587,16.2661426096781,19.580902844235702
WestTampa_42098,02-02,0.9828878791055562,0.473583853149528,1.5196225252133693,17.859997970854316,16.042457634517756,19.53029619321471
WestTampa_42098,02-03,0.9978781714989146,0.48257594095919953,1.4895038026211715,17.826104472209323,16.112508369304674,19.488559263965794
WestTampa_42098,02-04,0.9982845453630353,0.5041182068071984,1.4424258481033527,17.84793987830932,16.074809272056257,19.349794577993464
WestTampa_42098,02-05,1.0111495787848064,0.4917503089240041,1.5274221372288121,17.887710617030546,16.28181200465654,19.564144388862847
WestTampa_42098,02-06,0.9459751403171097,0.4597551477116541,1.3861478045118414,17.96038649637391,16.34048392737274,19.537667221967993
WestTampa_42098,02-07,0.8988261093421929,0.4146354939104978,1.406546117497366,18.030515914509422,16.22838516982423,19.5886295404945
WestTampa_42098,02-08,0.9080696622838813,0.44312303340057524,1.375489667782828,18.095333580428385,16.526828569128547,19.84013496766302
WestTampa_42098,02-09,0.8844841617074655,0.37179767298225846,1.3631904093082283,18.209302354564713,16.559176694526794,19.761056649130232
WestTampa_42098,02-10,0.8632507297301293,0.3531116180588973,1.3466030062820256,18.28653085033556,16.54542070878715,19.852167656266968
WestTampa_42098,02-11,0.8602859302885979,0.3456534667404344,1.3416520524311923,18.416822466440475,16.821853771303406,20.2059362131291
WestTampa_42098,02-12,0.8700293269714184,0.354598781041301,1.3451988807278668,18.560623051648207,16.90764643909721,20.250120102301224
