#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 01 02 15 15 00 1 2490.754
2022 01 02 15 30 00 1 2490.741
2022 01 02 15 45 00 1 2490.712
2022 01 02 16 00 00 1 2490.665
2022 01 02 16 15 00 1 2490.607
2022 01 02 16 30 00 1 2490.536
2022 01 02 16 45 00 1 2490.451
2022 01 02 17 00 00 1 2490.354
2022 01 02 17 15 00 1 2490.251
2022 01 02 17 30 00 1 2490.136
2022 01 02 17 45 00 1 2490.011
2022 01 02 18 00 00 1 2489.874
2022 01 02 18 15 00 1 2489.756
2022 01 02 18 30 00 1 2489.637
2022 01 02 18 45 00 1 2489.511
2022 01 02 19 00 00 1 2489.385
2022 01 02 19 15 00 1 2489.265
2022 01 02 19 30 00 1 2489.144
2022 01 02 19 45 00 1 2489.030
2022 01 02 20 00 00 1 2488.937
2022 01 02 20 15 00 1 2488.852
2022 01 02 20 30 00 1 2488.779
2022 01 02 20 45 00 1 2488.719
2022 01 02 21 00 00 1 2488.670
2022 01 02 21 15 00 1 2488.639
2022 01 02 21 30 00 1 2488.623
2022 01 02 21 45 00 1 2488.620
2022 01 02 22 00 00 1 2488.632
2022 01 02 22 15 00 1 2488.659
2022 01 02 22 30 00 1 2488.701
2022 01 02 22 45 00 1 2488.754
2022 01 02 23 00 00 1 2488.822
2022 01 02 23 15 00 1 2488.901
2022 01 02 23 30 00 1 2488.990
2022 01 02 23 45 00 1 2489.089
2022 01 03 00 00 00 1 2489.200
2022 01 03 00 15 00 1 2489.311
2022 01 03 00 30 00 1 2489.421
2022 01 03 00 45 00 1 2489.533
2022 01 03 01 00 00 1 2489.648
2022 01 03 01 15 00 1 2489.761
2022 01 03 01 30 00 1 2489.866
2022 01 03 01 45 00 1 2489.961
2022 01 03 02 00 00 1 2490.053
2022 01 03 02 15 00 1 2490.136
2022 01 03 02 30 00 1 2490.206
2022 01 03 02 45 00 1 2490.263
2022 01 03 03 00 00 1 2490.306
2022 01 03 03 15 00 1 2490.341
2022 01 03 03 30 00 1 2490.358
2022 01 03 03 45 00 1 2490.363
2022 01 03 04 00 00 1 2490.352
2022 01 03 04 15 00 1 2490.328
2022 01 03 04 30 00 1 2490.290
2022 01 03 04 45 00 1 2490.239
2022 01 03 05 00 00 1 2490.174
2022 01 03 05 15 00 1 2490.100
2022 01 03 05 30 00 1 2490.018
2022 01 03 05 45 00 1 2489.928
2022 01 03 06 00 00 1 2489.834
2022 01 03 06 15 00 1 2489.733
2022 01 03 06 30 00 1 2489.627
2022 01 03 06 45 00 1 2489.514
2022 01 03 07 00 00 1 2489.397
2022 01 03 07 15 00 1 2489.304
2022 01 03 07 30 00 1 2489.206
2022 01 03 07 45 00 1 2489.110
2022 01 03 08 00 00 1 2489.021
2022 01 03 08 15 00 1 2488.938
2022 01 03 08 30 00 1 2488.861
2022 01 03 08 45 00 1 2488.807
2022 01 03 09 00 00 1 2488.769
2022 01 03 09 15 00 1 2488.742
2022 01 03 09 30 00 1 2488.719
2022 01 03 09 45 00 1 2488.711
2022 01 03 10 00 00 1 2488.729
2022 01 03 10 15 00 1 2488.757
2022 01 03 10 30 00 1 2488.800
2022 01 03 10 45 00 1 2488.856
2022 01 03 11 00 00 1 2488.929
2022 01 03 11 15 00 1 2489.014
2022 01 03 11 30 00 1 2489.111
2022 01 03 11 45 00 1 2489.214
2022 01 03 12 00 00 1 2489.326
2022 01 03 12 15 00 1 2489.447
2022 01 03 12 30 00 1 2489.575
2022 01 03 12 45 00 1 2489.700
2022 01 03 13 00 00 1 2489.832
2022 01 03 13 15 00 1 2489.963
2022 01 03 13 30 00 1 2490.088
2022 01 03 13 45 00 1 2490.210
2022 01 03 14 00 00 1 2490.325
2022 01 03 14 15 00 1 2490.431
2022 01 03 14 30 00 1 2490.521
2022 01 03 14 45 00 1 2490.599
2022 01 03 15 00 00 1 2490.663
2022 01 03 15 15 00 1 2490.715
2022 01 03 15 30 00 1 2490.750
2022 01 03 15 45 00 1 2490.770
2022 01 03 16 00 00 1 2490.775
2022 01 03 16 15 00 1 2490.765
2022 01 03 16 30 00 1 2490.737
2022 01 03 16 45 00 1 2490.692
2022 01 03 17 00 00 1 2490.630
2022 01 03 17 15 00 1 2490.556
2022 01 03 17 30 00 1 2490.468
2022 01 03 17 45 00 1 2490.365
2022 01 03 18 00 00 1 2490.245
2022 01 03 18 15 00 1 2490.142
2022 01 03 18 30 00 1 2490.023
2022 01 03 18 45 00 1 2489.896
2022 01 03 19 00 00 1 2489.767
2022 01 03 19 15 00 1 2489.637
2022 01 03 19 30 00 1 2489.500
2022 01 03 19 45 00 1 2489.361
2022 01 03 20 00 00 1 2489.240
2022 01 03 20 15 00 1 2489.131
2022 01 03 20 30 00 1 2489.020
2022 01 03 20 45 00 1 2488.917
2022 01 03 21 00 00 1 2488.821
2022 01 03 21 15 00 1 2488.745
2022 01 03 21 30 00 1 2488.684
2022 01 03 21 45 00 1 2488.638
2022 01 03 22 00 00 1 2488.602
2022 01 03 22 15 00 1 2488.586
2022 01 03 22 30 00 1 2488.586
2022 01 03 22 45 00 1 2488.600
2022 01 03 23 00 00 1 2488.625
2022 01 03 23 15 00 1 2488.663
2022 01 03 23 30 00 1 2488.724
2022 01 03 23 45 00 1 2488.798
2022 01 04 00 00 00 1 2488.877
2022 01 04 00 15 00 1 2488.972
2022 01 04 00 30 00 1 2489.075
2022 01 04 00 45 00 1 2489.181
2022 01 04 01 00 00 1 2489.295
2022 01 04 01 15 00 1 2489.415
2022 01 04 01 30 00 1 2489.533
2022 01 04 01 45 00 1 2489.650
2022 01 04 02 00 00 1 2489.764
2022 01 04 02 15 00 1 2489.872
2022 01 04 02 30 00 1 2489.975
2022 01 04 02 45 00 1 2490.069
2022 01 04 03 00 00 1 2490.152
2022 01 04 03 15 00 1 2490.226
2022 01 04 03 30 00 1 2490.290
2022 01 04 03 45 00 1 2490.334
2022 01 04 04 00 00 1 2490.370
2022 01 04 04 15 00 1 2490.393
2022 01 04 04 30 00 1 2490.404
2022 01 04 04 45 00 1 2490.392
2022 01 04 05 00 00 1 2490.367
2022 01 04 05 15 00 1 2490.332
2022 01 04 05 30 00 1 2490.284
2022 01 04 05 45 00 1 2490.223
2022 01 04 06 00 00 1 2490.150
2022 01 04 06 15 00 1 2490.069
2022 01 04 06 30 00 1 2489.983
2022 01 04 06 45 00 1 2489.890
2022 01 04 07 00 00 1 2489.787
2022 01 04 07 15 00 1 2489.679
2022 01 04 07 30 00 1 2489.559
2022 01 04 07 45 00 1 2489.465
2022 01 04 08 00 00 1 2489.366
2022 01 04 08 15 00 1 2489.267
2022 01 04 08 30 00 1 2489.170
2022 01 04 08 45 00 1 2489.077
2022 01 04 09 00 00 1 2488.991
2022 01 04 09 15 00 1 2488.920
2022 01 04 09 30 00 1 2488.867
2022 01 04 09 45 00 1 2488.824
2022 01 04 10 00 00 1 2488.794
2022 01 04 10 15 00 1 2488.775
2022 01 04 10 30 00 1 2488.761
2022 01 04 10 45 00 1 2488.771
2022 01 04 11 00 00 1 2488.800
2022 01 04 11 15 00 1 2488.840
2022 01 04 11 30 00 1 2488.892
2022 01 04 11 45 00 1 2488.961
2022 01 04 12 00 00 1 2489.044
2022 01 04 12 15 00 1 2489.135
2022 01 04 12 30 00 1 2489.237
2022 01 04 12 45 00 1 2489.349
2022 01 04 13 00 00 1 2489.469
2022 01 04 13 15 00 1 2489.596
2022 01 04 13 30 00 1 2489.720
2022 01 04 13 45 00 1 2489.848
2022 01 04 14 00 00 1 2489.977
2022 01 04 14 15 00 1 2490.104
2022 01 04 14 30 00 1 2490.224
2022 01 04 14 45 00 1 2490.332
2022 01 04 15 00 00 1 2490.433
2022 01 04 15 15 00 1 2490.523
2022 01 04 15 30 00 1 2490.602
2022 01 04 15 45 00 1 2490.664
2022 01 04 16 00 00 1 2490.714
2022 01 04 16 15 00 1 2490.747
2022 01 04 16 30 00 1 2490.767
2022 01 04 16 45 00 1 2490.771
2022 01 04 17 00 00 1 2490.761
2022 01 04 17 15 00 1 2490.733
2022 01 04 17 30 00 1 2490.687
2022 01 04 17 45 00 1 2490.627
2022 01 04 18 00 00 1 2490.552
2022 01 04 18 15 00 1 2490.468
2022 01 04 18 30 00 1 2490.370
2022 01 04 18 45 00 1 2490.267
2022 01 04 19 00 00 1 2490.152
2022 01 04 19 15 00 1 2490.026
2022 01 04 19 30 00 1 2489.903
2022 01 04 19 45 00 1 2489.782
2022 01 04 20 00 00 1 2489.658
2022 01 04 20 15 00 1 2489.530
2022 01 04 20 30 00 1 2489.404
2022 01 04 20 45 00 1 2489.279
2022 01 04 21 00 00 1 2489.163
2022 01 04 21 15 00 1 2489.053
2022 01 04 21 30 00 1 2488.964
2022 01 04 21 45 00 1 2488.881
2022 01 04 22 00 00 1 2488.805
2022 01 04 22 15 00 1 2488.739
2022 01 04 22 30 00 1 2488.688
2022 01 04 22 45 00 1 2488.654
2022 01 04 23 00 00 1 2488.635
2022 01 04 23 15 00 1 2488.632
2022 01 04 23 30 00 1 2488.642
2022 01 04 23 45 00 1 2488.673
2022 01 05 00 00 00 1 2488.713
2022 01 05 00 15 00 1 2488.766
2022 01 05 00 30 00 1 2488.831
2022 01 05 00 45 00 1 2488.905
2022 01 05 01 00 00 1 2488.996
2022 01 05 01 15 00 1 2489.094
2022 01 05 01 30 00 1 2489.199
2022 01 05 01 45 00 1 2489.311
2022 01 05 02 00 00 1 2489.419
2022 01 05 02 15 00 1 2489.529
2022 01 05 02 30 00 1 2489.641
2022 01 05 02 45 00 1 2489.749
2022 01 05 03 00 00 1 2489.852
2022 01 05 03 15 00 1 2489.947
2022 01 05 03 30 00 1 2490.033
2022 01 05 03 45 00 1 2490.110
2022 01 05 04 00 00 1 2490.180
2022 01 05 04 15 00 1 2490.240
2022 01 05 04 30 00 1 2490.284
2022 01 05 04 45 00 1 2490.318
2022 01 05 05 00 00 1 2490.338
2022 01 05 05 15 00 1 2490.346
2022 01 05 05 30 00 1 2490.340
2022 01 05 05 45 00 1 2490.315
2022 01 05 06 00 00 1 2490.282
2022 01 05 06 15 00 1 2490.238
2022 01 05 06 30 00 1 2490.182
2022 01 05 06 45 00 1 2490.114
2022 01 05 07 00 00 1 2490.039
2022 01 05 07 15 00 1 2489.954
2022 01 05 07 30 00 1 2489.865
2022 01 05 07 45 00 1 2489.769
2022 01 05 08 00 00 1 2489.668
2022 01 05 08 15 00 1 2489.560
2022 01 05 08 30 00 1 2489.456
2022 01 05 08 45 00 1 2489.370
2022 01 05 09 00 00 1 2489.281
2022 01 05 09 15 00 1 2489.194
2022 01 05 09 30 00 1 2489.108
2022 01 05 09 45 00 1 2489.033
2022 01 05 10 00 00 1 2488.966
2022 01 05 10 15 00 1 2488.910
2022 01 05 10 30 00 1 2488.872
2022 01 05 10 45 00 1 2488.845
2022 01 05 11 00 00 1 2488.830
2022 01 05 11 15 00 1 2488.826
2022 01 05 11 30 00 1 2488.825
2022 01 05 11 45 00 1 2488.847
2022 01 05 12 00 00 1 2488.893
2022 01 05 12 15 00 1 2488.945
2022 01 05 12 30 00 1 2489.005
2022 01 05 12 45 00 1 2489.084
2022 01 05 13 00 00 1 2489.173
2022 01 05 13 15 00 1 2489.271
2022 01 05 13 30 00 1 2489.374
2022 01 05 13 45 00 1 2489.484
2022 01 05 14 00 00 1 2489.599
2022 01 05 14 15 00 1 2489.717
2022 01 05 14 30 00 1 2489.837
2022 01 05 14 45 00 1 2489.953
2022 01 05 15 00 00 1 2490.064
2022 01 05 15 15 00 1 2490.175
2022 01 05 15 30 00 1 2490.280
2022 01 05 15 45 00 1 2490.373
2022 01 05 16 00 00 1 2490.458
2022 01 05 16 15 00 1 2490.531
2022 01 05 16 30 00 1 2490.591
2022 01 05 16 45 00 1 2490.637
2022 01 05 17 00 00 1 2490.669
2022 01 05 17 15 00 1 2490.688
2022 01 05 17 30 00 1 2490.693
2022 01 05 17 45 00 1 2490.683
2022 01 05 18 00 00 1 2490.655
2022 01 05 18 15 00 1 2490.611
2022 01 05 18 30 00 1 2490.555
2022 01 05 18 45 00 1 2490.485
2022 01 05 19 00 00 1 2490.401
2022 01 05 19 15 00 1 2490.306
2022 01 05 19 30 00 1 2490.203
2022 01 05 19 45 00 1 2490.093
2022 01 05 20 00 00 1 2489.975
2022 01 05 20 15 00 1 2489.867
2022 01 05 20 30 00 1 2489.749
2022 01 05 20 45 00 1 2489.633
2022 01 05 21 00 00 1 2489.514
2022 01 05 21 15 00 1 2489.398
2022 01 05 21 30 00 1 2489.281
2022 01 05 21 45 00 1 2489.171
2022 01 05 22 00 00 1 2489.077
2022 01 05 22 15 00 1 2488.996
2022 01 05 22 30 00 1 2488.918
2022 01 05 22 45 00 1 2488.847
2022 01 05 23 00 00 1 2488.787
2022 01 05 23 15 00 1 2488.744
2022 01 05 23 30 00 1 2488.718
2022 01 05 23 45 00 1 2488.701
2022 01 06 00 00 00 1 2488.693
2022 01 06 00 15 00 1 2488.706
2022 01 06 00 30 00 1 2488.732
2022 01 06 00 45 00 1 2488.770
2022 01 06 01 00 00 1 2488.822
2022 01 06 01 15 00 1 2488.889
2022 01 06 01 30 00 1 2488.960
2022 01 06 01 45 00 1 2489.040
2022 01 06 02 00 00 1 2489.132
2022 01 06 02 15 00 1 2489.232
2022 01 06 02 30 00 1 2489.332
2022 01 06 02 45 00 1 2489.436
2022 01 06 03 00 00 1 2489.540
2022 01 06 03 15 00 1 2489.640
2022 01 06 03 30 00 1 2489.740
2022 01 06 03 45 00 1 2489.832
2022 01 06 04 00 00 1 2489.916
2022 01 06 04 15 00 1 2489.993
2022 01 06 04 30 00 1 2490.062
2022 01 06 04 45 00 1 2490.125
2022 01 06 05 00 00 1 2490.177
2022 01 06 05 15 00 1 2490.215
2022 01 06 05 30 00 1 2490.244
2022 01 06 05 45 00 1 2490.262
2022 01 06 06 00 00 1 2490.266
2022 01 06 06 15 00 1 2490.256
2022 01 06 06 30 00 1 2490.234
2022 01 06 06 45 00 1 2490.203
2022 01 06 07 00 00 1 2490.158
2022 01 06 07 15 00 1 2490.107
2022 01 06 07 30 00 1 2490.044
2022 01 06 07 45 00 1 2489.974
2022 01 06 08 00 00 1 2489.899
2022 01 06 08 15 00 1 2489.817
2022 01 06 08 30 00 1 2489.731
2022 01 06 08 45 00 1 2489.638
2022 01 06 09 00 00 1 2489.537
2022 01 06 09 15 00 1 2489.463
2022 01 06 09 30 00 1 2489.385
2022 01 06 09 45 00 1 2489.302
2022 01 06 10 00 00 1 2489.222
2022 01 06 10 15 00 1 2489.145
2022 01 06 10 30 00 1 2489.072
2022 01 06 10 45 00 1 2489.014
2022 01 06 11 00 00 1 2488.973
2022 01 06 11 15 00 1 2488.941
2022 01 06 11 30 00 1 2488.920
2022 01 06 11 45 00 1 2488.905
2022 01 06 12 00 00 1 2488.890
2022 01 06 12 15 00 1 2488.895
2022 01 06 12 30 00 1 2488.925
2022 01 06 12 45 00 1 2488.967
2022 01 06 13 00 00 1 2489.009
2022 01 06 13 15 00 1 2489.071
2022 01 06 13 30 00 1 2489.149
2022 01 06 13 45 00 1 2489.228
2022 01 06 14 00 00 1 2489.313
2022 01 06 14 15 00 1 2489.410
2022 01 06 14 30 00 1 2489.512
2022 01 06 14 45 00 1 2489.617
2022 01 06 15 00 00 1 2489.723
2022 01 06 15 15 00 1 2489.828
2022 01 06 15 30 00 1 2489.935
2022 01 06 15 45 00 1 2490.037
2022 01 06 16 00 00 1 2490.136
2022 01 06 16 15 00 1 2490.221
2022 01 06 16 30 00 1 2490.301
2022 01 06 16 45 00 1 2490.376
2022 01 06 17 00 00 1 2490.436
2022 01 06 17 15 00 1 2490.486
2022 01 06 17 30 00 1 2490.525
2022 01 06 17 45 00 1 2490.551
2022 01 06 18 00 00 1 2490.562
2022 01 06 18 15 00 1 2490.563
2022 01 06 18 30 00 1 2490.550
2022 01 06 18 45 00 1 2490.521
2022 01 06 19 00 00 1 2490.479
2022 01 06 19 15 00 1 2490.423
2022 01 06 19 30 00 1 2490.355
2022 01 06 19 45 00 1 2490.275
2022 01 06 20 00 00 1 2490.192
2022 01 06 20 15 00 1 2490.101
2022 01 06 20 30 00 1 2489.995
2022 01 06 20 45 00 1 2489.884
2022 01 06 21 00 00 1 2489.789
2022 01 06 21 15 00 1 2489.693
2022 01 06 21 30 00 1 2489.588
2022 01 06 21 45 00 1 2489.478
2022 01 06 22 00 00 1 2489.370
2022 01 06 22 15 00 1 2489.269
2022 01 06 22 30 00 1 2489.170
2022 01 06 22 45 00 1 2489.087
2022 01 06 23 00 00 1 2489.017
2022 01 06 23 15 00 1 2488.953
2022 01 06 23 30 00 1 2488.888
2022 01 06 23 45 00 1 2488.834
2022 01 07 00 00 00 1 2488.791
2022 01 07 00 15 00 1 2488.769
2022 01 07 00 30 00 1 2488.754
2022 01 07 00 45 00 1 2488.752
2022 01 07 01 00 00 1 2488.766
2022 01 07 01 15 00 1 2488.795
2022 01 07 01 30 00 1 2488.831
2022 01 07 01 45 00 1 2488.878
2022 01 07 02 00 00 1 2488.936
2022 01 07 02 15 00 1 2489.000
2022 01 07 02 30 00 1 2489.074
2022 01 07 02 45 00 1 2489.157
2022 01 07 03 00 00 1 2489.246
2022 01 07 03 15 00 1 2489.343
2022 01 07 03 30 00 1 2489.436
2022 01 07 03 45 00 1 2489.525
2022 01 07 04 00 00 1 2489.614
2022 01 07 04 15 00 1 2489.708
2022 01 07 04 30 00 1 2489.789
2022 01 07 04 45 00 1 2489.864
2022 01 07 05 00 00 1 2489.932
2022 01 07 05 15 00 1 2489.998
2022 01 07 05 30 00 1 2490.051
2022 01 07 05 45 00 1 2490.096
2022 01 07 06 00 00 1 2490.137
2022 01 07 06 15 00 1 2490.162
2022 01 07 06 30 00 1 2490.176
2022 01 07 06 45 00 1 2490.184
2022 01 07 07 00 00 1 2490.177
2022 01 07 07 15 00 1 2490.158
2022 01 07 07 30 00 1 2490.132
2022 01 07 07 45 00 1 2490.096
2022 01 07 08 00 00 1 2490.051
2022 01 07 08 15 00 1 2489.998
2022 01 07 08 30 00 1 2489.938
2022 01 07 08 45 00 1 2489.874
2022 01 07 09 00 00 1 2489.806
2022 01 07 09 15 00 1 2489.736
2022 01 07 09 30 00 1 2489.666
2022 01 07 09 45 00 1 2489.592
2022 01 07 10 00 00 1 2489.515
2022 01 07 10 15 00 1 2489.434
2022 01 07 10 30 00 1 2489.372
2022 01 07 10 45 00 1 2489.316
2022 01 07 11 00 00 1 2489.260
2022 01 07 11 15 00 1 2489.207
2022 01 07 11 30 00 1 2489.158
2022 01 07 11 45 00 1 2489.115
2022 01 07 12 00 00 1 2489.084
2022 01 07 12 15 00 1 2489.063
2022 01 07 12 30 00 1 2489.056
2022 01 07 12 45 00 1 2489.060
