#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 01 00 00 286  0.6  2.3 99.00 99.00 99.00 999 1018.9   3.4   8.0  -2.7 99.0 99.00 
2022 01 01 00 10 301  0.8  1.9 99.00 99.00 99.00 999 1019.1   3.4   8.0  -2.6 99.0 99.00 
2022 01 01 00 20 331  1.1  2.5 99.00 99.00 99.00 999 1019.2   3.4   8.0  -2.7 99.0 99.00 
2022 01 01 00 30 262  0.5  1.9 99.00 99.00 99.00 999 1019.2   3.3   8.0  -2.8 99.0 99.00 
2022 01 01 00 40 298  1.3  2.9  1.86 10.81  7.52 305 1019.4   3.2   7.9  -2.8 99.0 99.00 
2022 01 01 00 50 315  1.8  3.3 99.00 99.00 99.00 999 1019.6   3.2   7.9  -2.7 99.0 99.00 
2022 01 01 01 00 292  0.9  2.7 99.00 99.00 99.00 999 1019.5   3.1   7.9  -3.0 99.0 99.00 
2022 01 01 01 10 305  1.0  2.4 99.00 99.00 99.00 999 1019.6   3.2   7.9  -2.7 99.0 99.00 
2022 01 01 01 20 275  1.0  2.4 99.00 99.00 99.00 999 1019.7   3.2   8.0  -2.8 99.0 99.00 
2022 01 01 01 30 217  0.3  1.8 99.00 99.00 99.00 999 1019.8   3.2   8.0  -2.8 99.0 99.00 
2022 01 01 01 40 201  2.7  5.1  1.85 10.81  7.58 302 1019.9   3.4   7.9  -2.3 99.0 99.00 
2022 01 01 01 50 191  3.9  6.1 99.00 99.00 99.00 999 1019.9   3.6   7.9  -2.6 99.0 99.00 
2022 01 01 02 00 188  4.3  6.0 99.00 99.00 99.00 999 1020.1   3.6   7.9  -2.9 99.0 99.00 
2022 01 01 02 10 179  4.6  6.9 99.00 99.00 99.00 999 1020.2   3.6   8.0  -2.8 99.0 99.00 
2022 01 01 02 20 167  4.8  6.7 99.00 99.00 99.00 999 1020.2   3.6   8.0  -2.7 99.0 99.00 
2022 01 01 02 30 162  5.0  7.3 99.00 99.00 99.00 999 1020.3   3.7   7.9  -2.4 99.0 99.00 
2022 01 01 02 40 173  4.8  6.8  1.61 10.81  7.25 309 1020.4   3.6   8.0  -2.6 99.0 99.00 
2022 01 01 02 50 166  4.8  7.9 99.00 99.00 99.00 999 1020.5   3.6   8.1  -2.7 99.0 99.00 
2022 01 01 03 00 145  7.4 10.1 99.00 99.00 99.00 999 1020.6   3.3   8.4  -2.2 99.0 99.00 
2022 01 01 03 10 143  8.3 11.1 99.00 99.00 99.00 999 1020.5   3.2   8.6  -2.5 99.0 99.00 
2022 01 01 03 20 141  8.2 11.5 99.00 99.00 99.00 999 1020.5   3.0   9.0  -2.8 99.0 99.00 
2022 01 01 03 30 138  8.2 10.7 99.00 99.00 99.00 999 1020.7   2.9   8.9  -2.9 99.0 99.00 
2022 01 01 03 40 139  8.6 11.6  1.81 10.81  7.03 309 1020.7   2.8   9.0  -3.1 99.0 99.00 
2022 01 01 03 50 136  8.8 11.8 99.00 99.00 99.00 999 1020.8   2.6   9.2  -3.7 99.0 99.00 
2022 01 01 04 00 139  8.0 10.2 99.00 99.00 99.00 999 1021.0   2.6   9.2  -3.7 99.0 99.00 
2022 01 01 04 10 141  7.6 10.1 99.00 99.00 99.00 999 1021.1   2.5   9.3  -4.1 99.0 99.00 
2022 01 01 04 20 142  7.7 10.4 99.00 99.00 99.00 999 1021.1   2.6   9.4  -3.7 99.0 99.00 
2022 01 01 04 30 138  8.1 10.9 99.00 99.00 99.00 999 1021.1   2.6   9.5  -3.4 99.0 99.00 
2022 01 01 04 40 137  8.1 11.4  1.74 10.81  5.83 307 1021.0   2.6   9.6  -3.4 99.0 99.00 
2022 01 01 04 50 135  8.3 11.1 99.00 99.00 99.00 999 1021.1   2.5   9.6  -3.9 99.0 99.00 
2022 01 01 05 00 135  8.4 11.1 99.00 99.00 99.00 999 1021.0   2.5   9.7  -3.6 99.0 99.00 
